Date,Price,Open,High,Low,Vol.,Volume,Change %
2023-10-12,"67,111.03","67,100.49","67,111.03","67,100.49",6.76M,6760000,0.02%
2023-10-11,"67,100.49","66,984.32","67,190.54","66,981.09",410.32M,410320000,0.17%
2023-10-10,"66,984.62","67,101.39","67,118.93","66,956.31",257.42M,257420000,-0.17%
2023-10-09,"67,101.57","66,454.57","67,123.22","66,454.57",268.65M,268650000,0.97%
2023-10-06,"66,454.57","66,532.84","67,188.68","66,210.45",374.09M,374090000,-0.17%
2023-10-05,"66,570.19","66,481.99","66,570.19","66,474.70",357.45M,357450000,0.13%
2023-10-04,"66,482.28","66,770.97","66,891.05","66,449.33",657.51M,657510000,-0.43%
2023-10-03,"66,770.97","66,382.14","66,966.66","66,382.14",364.32M,364320000,0.59%
2023-09-29,"66,382.14","66,448.63","66,508.55","65,865.33",292.94M,292940000,-0.10%
2023-09-28,"66,448.63","66,665.16","66,710.95","66,399.02",273.80M,273800000,-0.31%
2023-09-26,"66,652.17","66,882.64","66,937.30","66,218.36",363.94M,363940000,-0.34%
2023-09-25,"66,882.64","67,227.17","67,281.98","66,882.64",408.19M,408190000,-0.66%
2023-09-22,"67,324.59","68,272.66","68,310.05","67,277.43",1.03B,1030000000,-1.39%
2023-09-21,"68,271.14","68,336.40","68,377.26","68,215.40",1.12B,1120000000,-0.09%
2023-09-20,"68,335.72","68,375.47","68,495.83","68,113.02",566.63M,566630000,-0.03%
2023-09-19,"68,359.22","67,878.20","68,370.90","67,878.20",676.74M,676740000,0.71%
2023-09-18,"67,877.17","67,395.74","67,877.17","67,395.74",515.28M,515280000,0.71%
2023-09-15,"67,395.74","67,335.30","67,395.74","67,199.04",408.87M,408870000,0.07%
2023-09-14,"67,347.73","67,419.50","67,471.13","67,243.92",788.54M,788540000,-0.10%
2023-09-13,"67,414.40","66,780.64","67,421.40","66,780.64",569.63M,569630000,0.98%
2023-09-12,"66,760.20","67,198.77","67,198.77","66,485.44",645.51M,645510000,-0.80%
2023-09-11,"67,296.18","68,143.34","68,162.71","67,284.52",520.13M,520130000,-1.24%
2023-09-08,"68,143.34","68,082.11","68,195.76","68,082.11",483.49M,483490000,0.09%
2023-09-07,"68,082.11","68,286.28","68,316.40","67,969.08",378.09M,378090000,-0.30%
2023-09-06,"68,286.28","68,325.27","68,347.52","67,624.46",378.65M,378650000,-0.07%
